student_id,name,college,course_id,course_name,credit,semester,enroll_date,score,is_elective
202404010727,魏建兰,土木学院,CS114014,人工智能导论,2.0,2025-01,2025-03-13,85,1
202306010612,江海凤,物理学院,GE000011,体育,1.0,2025-01,2024-12-17,66,0
202505020926,曾永辉,数学学院,CS102026,数据结构与算法,3.5,2026-02,2026-07-18,46,0
202002010622,曹海梅,电信学院,ME113024,机器人技术,2.5,2025-02,2025-10-13,87,1
202401010229,高冬华,计算机学院,EE113024,物联网技术,2.5,2026-02,2026-10-05,77,1
202507010415,樊文霞,经管学院,EE113024,物联网技术,2.5,2025-02,2025-10-11,74,1
202202030123,付志凤,电信学院,CE102026,结构力学,3.5,2023-02,2023-06-22,74,0
202308050207,彭小红,外语学院,GE011013,大学生职业规划,1.0,2024-01,2024-03-04,63,1
202304050813,文文伟,土木学院,ME113024,机器人技术,2.5,2025-02,2025-10-05,89,1
202303020327,尹玲,机械学院,GE011022,创新创业基础,1.5,2025-02,2025-10-03,95,1
202206051008,崔建明,物理学院,FL301015,综合英语,3.0,2022-01,2022-01-14,74,0
202107010725,高文明,经管学院,CE102026,结构力学,3.5,2022-02,2022-08-11,56,0
202007040827,石志伟,经管学院,MA201025,线性代数,3.0,2020-02,2020-07-01,74,0
202303040321,孙学强,机械学院,FL301015,综合英语,3.0,2023-01,2022-12-03,-1,0
202302030517,谢娜,电信学院,EM301014,微观经济学,2.5,2023-01,2023-02-17,57,0
202608020509,曹玉华,外语学院,CS114014,人工智能导论,2.0,2026-01,2026-03-01,72,1
202603020805,孙玉龙,机械学院,CS114014,人工智能导论,2.0,2026-01,2026-03-04,63,1
202006020104,于小军,物理学院,GE001011,心理健康,1.0,2020-01,2020-02-05,75,0
202201030921,尹丽,计算机学院,GE001012,思想政治理论,2.0,2022-01,2022-02-15,37,0
202502050817,任志平,电信学院,GE011022,创新创业基础,1.5,2026-02,2026-10-13,93,1
202003020819,孟建兰,机械学院,GE011024,艺术鉴赏,1.5,2022-02,2022-10-05,97,1
202305020712,廖秋兰,数学学院,CS113025,Web开发技术,2.5,2026-02,2026-10-11,89,1
202605020515,汪玉强,数学学院,GE011013,大学生职业规划,1.0,2026-01,2026-03-11,64,1
202106010821,季金波,物理学院,GE011013,大学生职业规划,1.0,2026-01,2026-03-04,100,1
202405020509,于德军,数学学院,GE011013,大学生职业规划,1.0,2024-01,2024-03-03,77,1
202304030918,唐洋,土木学院,EE113024,物联网技术,2.5,2025-02,2025-10-05,93,1
202304050119,韦建华,土木学院,EE102025,电路分析,3.0,2024-02,2024-06-27,78,0
202007050921,赵静,经管学院,EE102025,电路分析,3.0,2021-02,2021-06-19,85,0
202101040227,袁玉伟,计算机学院,GE011024,艺术鉴赏,1.5,2021-02,2021-10-11,61,1
202607040401,谢秀兰,经管学院,GE001011,心理健康,1.0,2026-01,2026-01-22,54,0
202001010620,何桂,计算机学院,GE001012,思想政治理论,2.0,2020-01,2020-02-25,71,0
202306010327,袁小凤,物理学院,CE102026,结构力学,3.5,2024-02,2024-08-11,69,0
202202040522,蒋建军,电信学院,GE011024,艺术鉴赏,1.5,2024-02,2024-10-06,84,1
202407020906,陶德梅,经管学院,EM301014,微观经济学,2.5,2024-01,2024-02-21,70,0
202401010130,韦建国,计算机学院,CS114014,人工智能导论,2.0,2025-01,2025-03-07,68,1
